short_name,authors,authors_in-text,title,secondary_title,year,month,day,volume,issue,pages,url,focus,comments,sort_name
"""2,"" 1980",,,2 Arrested in Slaying of Iranian,Atlanta Constitution,1980,7,24,,,,http://search.proquest.com/news/docview/1614142789/,Focuses on 1.1980-02 (Tabatabai),,"2, 1980"
"""2,"" 1984",,,2 Khomeini Foes Slain in Paris,Hartford Courant,1984,2,8,,,,http://search.proquest.com/docview/547179796,Focuses on 1.1984-01 (Oveissi),,"2, 1984"
"""2,"" 1987",,,2 Iranians Killed in London,Washington Post,1987,10,4,,,,http://search.proquest.com/docview/306953769,Focuses on 1.1987-07 (Tavakoli-Nabavi) | Alludes to broader pattern,,"2, 1987"
"""2,"" 1994",,,2 Iranians Convicted in Paris Killing,New York Times,1994,12,7,,,,http://search.proquest.com/docview/429990109,Focuses on 1.1991-04 (Bakhtiar ‘91) | Alludes to broader pattern,,"2, 1994"
"""4,"" 1999",,,4 Iranian Opposition Members Killed in Car Bomb,Xinhua,1999,6,9,,,,http://search.proquest.com/docview/454158751,Focuses on 1.1999-01 (Baghdad bus),,"4, 1999"
"""6,"" 1995",,,6 Iranian Assassins Sentenced By France,Reuters,1995,6,17,,,,http://search.proquest.com/docview/430219404,Focuses on 1.1991-04 (Bakhtiar ‘91),,"6, 1995"
"""7,"" 1999",,,7 Militants Die in Car-Bombing,Irish Times,1999,6,10,,,,http://search.proquest.com/docview/310449449,Focuses on 1.1999-01 (Baghdad bus),,"7, 1999"
"""90,"" 1980",,,90 in U.S. Reported on Islamic Hit List,Chicago Tribune,1980,8,9,,,,http://search.proquest.com/news/docview/172092669/,"Mentions 1.1980-02 (Tabatabai), 1.1980-03 (Shah-Rais) | Alludes to broader pattern",,"90, 1980"
"Abdo and Associated Press, 1999","Abdo, Geneive; Associated Press",Abdo and Associated Press,Iran-Iraq Strains Grow as Report Says Scuds Fired,Guardian [London],1999,6,11,,,,http://search.proquest.com/docview/245399161,Mentions 1.1999-01 (Baghdad bus),,"Abdo and Associated Press, 1999"
"Abedin, 2002","Abedin, Mahan",Abedin,Iranian Views on Regime Change in Iraq,Middle East Intelligence Bulletin,2002,,,4,11,,,"Mentions 1.1992-08 (Sharafkandi), 1.1994-07 (Hamzei’i) | Mentions Bakhtiar’s 1980 activities",,"Abedin, 2002"
"Anderson, 2009","Anderson, Jon Lee",Anderson,A Fugitive in Iran,New Yorker,2009,9,30,,,,http://www.newyorker.com/news/news-desk/jon-lee-anderson-a-fugitive-in-iran,Focuses on 1.1980-02 (Tabatabai,Mischaracterizes the timing of the event in relation to “the U.S. hostage crisis and the severing of relations between the U.S. and Iran”,"Anderson, 2009"
"""Anti-Khomeini,"" 1987",,,Anti-Khomeini Activists Killed in London,St. Petersburg Times [Florida],1987,10,4,,,,http://search.proquest.com/docview/262534162,Focuses on 1.1987-07 (Tavakoli-Nabavi) | Mentions 1.1987-04 (Amir-Parviz) | Alludes to 1.1986- 01 (Fazeli),,"Anti-Khomeini, 1987"
"""Arab,"" 1984",,,Arab Envoy Shot to Death in Paris,Philadelphia Inquirer,1984,2,9,,,,http://search.proquest.com/docview/1820666588,Mentions 1.1984-01 (Oveissi),,"Arab, 1984"
"""Assassins,"" 1980",,,"Assassins Miss Bakhtiar, Kill Two",Atlanta Constitution,1980,7,19,,,,http://search.proquest.com/docview/1614185850/,Focuses on 1.1991-04 (Bakhtiar ‘91) | Mentions 1.1979-01 (Shafigh),,"Assassins, 1980"
"Associated Press, 1980, ""3""",Associated Press,Associated Press,3 State Counts Are Dropped in Slaying of Iranian Exile,"Sun [Baltimore, Maryland]",1980,12,16,,,,http://search.proquest.com/news/docview/536026237/,Focuses on 1.1980-02 (Tabatabai),,"Associated Press, 1980, 3"
"Associated Press, 1980, ""Ex-Premier""",Associated Press,Associated Press,Ex-Premier of Syria Slain,Boston Globe,1980,7,22,,,,http://search.proquest.com/news/docview/1012042608/,Mentions 1.1980-01 (Bakhtiar ‘80),,"Associated Press, 1980, Ex-Premier"
"Associated Press, 1980, ""Khomeini""",Associated Press,Associated Press,Khomeini Foe Slain in Washington Suburb,Chicago Tribune,1980,7,23,,,,http://search.proquest.com/news/docview/170131005/,Focuses on 1.1980-02 (Tabatabai)| Mentions 1.1980-01 (Bakhtiar ’80),See also “Iran Exile Assassinated in Suburban D.C. Home.” Atlanta Constitution 23 Jul. 1980. Web. http://search.proquest.com/news/docview/1620853935/. 13 Jul. 2016.,"Associated Press, 1980, Khomeini"
"Associated Press, 1980, ""U.S.""",Associated Press,Associated Press,U.S. Won’t Try to Search Algerian Embassy for Accused Assassin,Hartford Courant,1980,7,27,,,,http://search.proquest.com/news/docview/546086513,Focuses on 1.1980-02 (Tabatabai),,"Associated Press, 1980, U.S."
"Associated Press, 1981, ""Bail""",Associated Press,Associated Press,Bail Money in Killing Reportedly From Iran,Atlanta Constitution,1981,7,19,,,,http://search.proquest.com/news/docview/1644140839/,Focuses on 1.1980-02 (Tabatabai),,"Associated Press, 1981, Bail"
"Associated Press, 1981, ""Fourth""",Associated Press,Associated Press,Fourth Suspect Identified in Slaying of Iranian,New York Times,1981,1,2,,,,http://search.proquest.com/news/docview/121547748/,Focuses on 1.1980-02 (Tabatabai),,"Associated Press, 1981, Fourth"
"Associated Press, 1981, ""Jury""",Associated Press,Associated Press,Jury Acquits 3 of Conspiracy to Kill U.S. Critic of Khomeini,New York Times,1981,12,4,,,,http://search.proquest.com/news/docview/121629578/,Focuses on 1.1980-02 (Tabatabai),,"Associated Press, 1981, Jury"
"Associated Press, 1984, ""Ex-Iranian""",Associated Press,Associated Press,"Ex-Iranian Military Chief, Brother Are Slain Outside Paris Apartment",Boston Globe,1984,2,8,,,,http://search.proquest.com/docview/1736054970,Focuses on 1.1984-01 (Oveissi),,"Associated Press, 1984, Ex-Iranian"
"Associated Press, 1984, ""Former""",Associated Press,Associated Press,Former ‘Butcher of Tehran’ Killed in Paris,Atlanta Constitution,1984,2,8,,,,http://search.proquest.com/docview/1622935590/,"Focuses on 1.1984-01 (Oveissi) | Mentions 1.1980-01 (Bakhtiar ‘80), 1.1979-01 (Shafigh)",,"Associated Press, 1984, Former"
"Associated Press, 1984, ""Shah's""",Associated Press,Associated Press,Shah’s Top General Slain in Paris,Boston Globe,1984,2,7,,,,http://search.proquest.com/docview/294178146,Focuses on 1.1984-01 (Oveissi) | Mentions 1.1979-01 (Shafigh),,"Associated Press, 1984, Shah's"
"Associated Press, 1987, ""4""",Associated Press,Associated Press,"4 Blasts Kill 67, Injure 300 in Pakistan","Newsday [Long Island, New York]",1987,7,15,,,,http://search.proquest.com/docview/277886677,Mentions 1.1987-03 (Pourshafizadeh),,"Associated Press, 1987, 4"
"Associated Press, 1987, ""Bomb""",Associated Press,Associated Press,Bomb Wounds Iranian Opponent,Sun Sentinel [Fort Lauderdale],1987,7,19,,,,http://search.proquest.com/docview/389531961,Focuses on 1.1987-04 (Amir-Parviz),,"Associated Press, 1987, Bomb"
"Associated Press, 1987, ""Bombing""",Associated Press,Associated Press,Bombing in London Wounds Leading Khomeini Opponent,New York Times,1987,7,19,,,,http://search.proquest.com/docview/426553417,Focuses on 1.1987-04 (Amir-Parviz),,"Associated Press, 1987, Bombing"
"Associated Press, 1987, ""Iranian""",Associated Press,Associated Press,Iranian Hurt in U.K. Car Bomb Blast,Toronto Star,1987,7,19,,,,http://search.proquest.com/docview/435590562,Focuses on 1.1987-04 (Amir-Parviz) | Alludes to broader pattern,,"Associated Press, 1987, Iranian"
"Associated Press, 1987, ""London""",Associated Press,Associated Press,London Blast Injures Foe of Khomeini,Orlando Sentinel,1987,7,19,,,,http://search.proquest.com/docview/277153979,Focuses on 1.1987-04 (Amir-Parviz),,"Associated Press, 1987, London"
"Associated Press, 1987, ""Misplacement""",Associated Press,Associated Press,Misplacement of Bomb Spares Foe of Ayatollah,"Gazette [Montreal, Quebec]",1987,7,21,,,,http://search.proquest.com/docview/431504432,Focuses on 1.1987-04 (Amir-Parviz),,"Associated Press, 1987, Misplacement"
"Associated Press, 1989, ""Gunmen""",Associated Press,Associated Press,Gunmen Kill Kurdish Exiles Holding a Meeting in Vienna,New York Times,1989,7,14,,,,http://search.proquest.com/docview/110350530,Focuses on 1.1989-02 (Ghassemlou),,"Associated Press, 1989, Gunmen"
"Associated Press, 1989, ""Iran""",Associated Press,Associated Press,Iran Suspected in 2 Slayings of Foes Outside Its Borders,Orlando Sentinel,1989,8,3,,,,http://search.proquest.com/docview/277564022,"Focuses on 1.1989-02 (Ghassemlou), 1.1989-01 (Bayahmadi)",,"Associated Press, 1989, Iran"
"Associated Press, 1991, ""Suspect""",Associated Press,Associated Press,Suspect in Iranian’s Death Eludes the Police,New York Times,1991,8,17,,,,http://search.proquest.com/docview/428175855,Focuses on 1.1991-04 (Bakhtiar ‘91),,"Associated Press, 1991, Suspect"
"Associated Press, 1991, ""Swiss""",Associated Press,Associated Press,Swiss Arrest Suspect in Killing of Iran Ex-Premier,Chicago Tribune,1991,8,22,,,,http://search.proquest.com/news/docview/1616001611/,Focuses on 1.1991-04 (Bakhtiar ‘91),,"Associated Press, 1991, Swiss"
"Associated Press, 1993, ""Iranian""",Associated Press,Associated Press,Iranian Opposition Leader Slain While Going to Work in Rome,Las Vegas Review,1993,3,17,,,,http://search.proquest.com/docview/259840131,Focuses on 1.1993-03 (Naghdi),,"Associated Press, 1993, Iranian"
"Associated Press, 1993, ""Military""",Associated Press,Associated Press,Military Honors,Salt Lake Tribune,1993,2,27,,,,http://search.proquest.com/docview/288533314,Mentions 1.1992-03 (Ghorbani),,"Associated Press, 1993, Military"
"Associated Press, 1996",Associated Press,Associated Press,Anti-Tehran Rallies Assemble in Wake of Activists’ Deaths,Orlando Sentinel,1996,2,25,,,,http://search.proquest.com/docview/278775929,Focuses on response to 1.1996-02 (Z. Rajabi),,"Associated Press, 1996"
"Aygun, 1991","Aygun, Hakan",Aygun,Islamic Jihad Number One,Active Terrorist Groups in Country Detailed,1991,12,26,,,,http://infoweb.newsbank.com/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbisdoc&p_nbid=J60T65VYMTM1NDMwNzUxMS40MTYzNzoxOjExOjEyOC4xODcuMC4w&p_action=doc&p_docref=v2%3A11C33B0D5F860D98%40FBISX-12732B718FAEE098%402448617-12732B798DD96518-12732B79CD459928,"Mentions 1.1985-02 (Aziz-Moradi), 1.1986-02 (Monfared), 1.1987-05 (Mansouri)",,"Aygun, 1991"
"Aziz, 1999","Aziz, Christine",Aziz,Women of Iranian Rebel Army Shrug Off Baghdad Bombing,Scotsman [Edinburgh],1999,6,10,,,,http://search.proquest.com/docview/326740277,Mentions 1.1999-01 (Baghdad bus),,"Aziz, 1999"
"Baer, 2008",Baer,Baer,The Devil We Know: Dealing With the New Iranian Superpower,,2008,,,,,,,Mentions 1.1989-02 (Ghassemlou),,"Baer, 2008"
"""Baghdad,"" 1999",,,"Baghdad Blast Toll Rises to Seven Iranians Dead, 15 Iraqis Wounded",BBC Monitoring Middle East,1999,6,9,,,,http://search.proquest.com/docview/451337552,Focuses on 1.1999-01 (Baghdad bus),,"Baghdad, 1999"
"Baldwin and Griffin, 2012","Baldwin, Brooke; Griffin, Drew",Baldwin and Griffin,Newscast,Finance Wire,2012,3,6,,,,http://search.proquest.com/docview/926568639,Focuses on 1.2012-01 (Bagherzadeh) | Mentions Sharmahd (table 1.2),,"Baldwin and Griffin, 2012"
"Barringer and Baker, 1980","Barringer, Felicity; Baker, Donald P.",Barringer and Baker,Anti-Khomeini Iranian Slain at Bethesda Home,Washington Post,1980,7,23,,,,http://www.lexisnexis.com/lnacui2api/api/version1/getDocCui?lni=3S8G-BD40-0009-W30%200&csi=8075&hl=t&hv=t&hnsd=f&hns=t&hgn=t&oc=00240&perma=true,Focuses on 1.1980-02 (Tabatabai),,"Barringer and Baker, 1980"
"Bell, 2011","Bell, Stewart",Bell,Echoes of Iran; Latest Effort ‘Not the First Time’ Iran Linked to Assassination Attempts,"National Post [Don Mills, Ontario]",2011,10,15,,,,http://search.proquest.com/docview/898657754,"Focuses on plots against Salman Rushdie | Mentions 1.1980-02 (Tabatabai), 1.1987-03 (Pourshafizadeh) | Alludes to broader pattern",,"Bell, 2011"
"Berger, 1980","Berger, Alan",Berger,Can Paris Still Offer Refuge?,Boston Globe,1980,8,10,,,,http://search.proquest.com/news/docview/1009963156/,Summarizes French sources on 1.1980-01 (Bakhtiar ’80),,"Berger, 1980"
"Bone, 1987","Bone, James",Bone,Iranians Fleeing to Pakistan Seek Refuge From War and Persecution,Christian Science Monitor,1987,7,15,,,,http://search.proquest.com/docview/1034945913,"Focuses on Iranian refugees in Pakistan, 1.1987-03 (Pourshafizadeh)",,"Bone, 1987"
"Borg, 1996","Borg, Gary (compiler)",Borg,Iranian Is Slain in His Paris Home,Chicago Tribune,1996,5,29,,,,http://search.proquest.com/docview/291115607,Focuses on 1.1996-05 (Mazlouman) | Mentions 1.1991-04 (Bakhtiar ‘91),,"Borg, 1996"
"Branigin, 1984","Branigin, William",Branigin,Iran’s Fervor Raises Fears in SE Asia,Washington Post,1984,3,29,,,,https://www.washingtonpost.com/archive/politics/1984/03/29/irans-fervor-raises-fears-in-se-asia/bfaa99b0-8f10-4b48-9ad2-b9a4e7f23104/,"Focuses on pro-Khomeini activism in southeast Asia | Mentions 1.1982-01 (Missaghi), 1.1983-02 (Sistan), 1.1983-01 (Rahimi)",,"Branigin, 1984"
"Broder, 1987","Broder, Jonathan",Broder,Shiite Resurgence in Pakistan Linked to Iran,"Gazette [Montreal, Quebec]",1987,11,21,,,,http://search.proquest.com/docview/431552450,Mentions 1.1987-03 (Pourshafizadeh),,"Broder, 1987"
"""Car-Bombing,"" 1987",,,Car-Bombing Blame,"Newsday [Long Island, New York]",1987,7,21,,,,http://search.proquest.com/docview/277924449,Focuses on Bakhtiar’s response to 1.1987-04 (Amir-Parviz),,"Car-Bombing, 1987"
"Chaddock, 1997","Chaddock, Gail Russell",Chaddock,"Iran Is Ruled Guilty, but Will Europe Punish It?",Christian Science Monitor,1997,4,25,,,,http://search.proquest.com/docview/816331468,"Focuses on 1.1992-08 (Sharafkandi) | Mentions 1.1990-03 (K. Rajavi), 1.1991-04 (Bakhtiar ‘91), 1.1980-01 (Bakhtiar ’80) | Alludes to broader pattern",,"Chaddock, 1997"
"Cook, 1979","Cook, Don",Cook,Shah’s Nephew Shot to Death in Paris: Iranian Court Chief Claims Responsibility,Los Angeles Times,1979,12,8,,,,http://search.proquest.com/docview/162753419,Focuses on 1.1979-01 (Shafigh),,"Cook, 1979"
"Cowell, 1993","Cowell, Alan",Cowell,Iranian Is Killed in Rome By 2 Gunmen on a Scooter,New York Times,1993,3,17,,,,http://search.proquest.com/docview/428968647,Focuses on 1.1993-03 (Naghdi) | Mentions 1.1991-04 (Bakhtiar ‘91) | Alludes to broader pattern,,"Cowell, 1993"
"Curtiss, 1990","Curtiss, Richard",Curtiss,An Assassination in Switzerland,The Washington Report on Middle East Affairs,1990,,,10,2,,http://search.proquest.com/docview/218793236,Focuses on 1.1990-03 (K. Rajavi) | Mentions 1.1990-02 (Mir-Abedini) | Alludes to broader pattern,,"Curtiss, 1990"
"Curtiss, 1993","Curtiss, Richard",Curtiss,Iran: Toll of Iran-Linked Assassinations Rising in Europe and Middle East,The Washington Report on Middle East Affairs,1993,,,11,8,39,http://search.proquest.com/docview/218818862,"Focuses on broader pattern, 1.1988-01 (Mojtahedzadeh) | Mentions 1.1992-03 (Ghorbani), 1.1992- 04 (Mojahedin ‘92), 1.1992-09 (Gholizadeh), 1.1990-03 (K. Rajavi)",,"Curtiss, 1993"
"DeYoung, 1987","DeYoung, Karen",DeYoung,Terror in Britain: Iranian Exiles Live in Fear,"Gazette [Montreal, Quebec]",1987,11,3,,,,http://search.proquest.com/docview/431562547,"Focuses on 1.1987-07 (Tavakoli-Nabavi) | Mentions 1.1986-01 (Fazeli), 1.1987-04 (Amir-Parviz) | Alludes to broader pattern",,"DeYoung, 1987"
"""Diplomatic,"" 1989",,,Diplomatic Sources Say Iran is Implicated in 2 Political Assassinations,"Star Tribune [Minneapolis, Minnesota]",1989,8,2,,,,http://search.proquest.com/docview/418052101,Focuses on 1.1989-02 (Ghassemlou) | Mentions 1.1989-01 (Bayahmadi),,"Diplomatic, 1989"
"Eder, 1980","Eder, Richard",Eder,Shah’s Last Prime Minister Unhurt in Assassination Attempt in Paris,New York Times,1980,7,19,,,,http://search.proquest.com/docview/121348924,Focuses on 1.1980-01 (Bakhtiar ’80) | Mentions 1.1979-01 (Shafigh),,"Eder, 1980"
"""Election,"" 1996",,,Election in Iran an [sic] to Gauge Attitude Toward Reform,"Record [Bergen County, New Jersey]",1996,3,8,,,,http://search.proquest.com/docview/424725279,Mentions 1.1996-04 (Rahmani),,"Election, 1996"
"Engelberg, 1989","Engelberg, Stephen",Engelberg,U.S. Links Teheran to Terror Squads,New York Times,1989,11,12,,,,http://search.proquest.com/docview/427432984,"Focuses on broader pattern | Mentions 1.1989-02 (Ghassemlou), 1.1989-03 (Javadi/G. Keshavarz), 1.1989-05 (H. Keshavarz)",,"Engelberg, 1989"
"""Envoy,"" 1984",,,Envoy for United Arab Emirates Is Slain in Paris,New York Times,1984,2,8,,,,http://search.proquest.com/docview/12236109,Focuses on assassination of Khalifa Ahmed Aziz al-Mubarak | Mentions 1.1984-01 (Oveissi),,"Envoy, 1984"
"Erlanger, 2010","Erlanger, Steven",Erlanger,France Moves to Free Man Who Killed Iran Official,New York Times,2010,5,18,,,,http://search.proquest.com/news/docview/1461110784/,Focuses on 1.1991-04 (Bakhtiar ‘91),,"Erlanger, 2010"
"""Ex-Aide,"" 1996",,,Ex-Aide of Shah Killed in France,Washington Post,1996,5,29,,,,http://search.proquest.com/docview/307955620,Focuses on 1.1996-05 (Mazlouman) | Mentions 1.1991-04 (Bakhtiar ‘91),,"Ex-Aide, 1996"
"""Ex-Guard,"" 1986",,,Ex-Guard of Shah Slain,Houston Chronicle,1986,10,25,,,,,Focuses on 1.1986-02 (Monfared),,"Ex-Guard, 1986"
"""Exiled,"" 1993",,,Exiled Iranian Killed by Gunman in Rome,Austin American Statesman,1993,3,17,,,,http://search.proquest.com/docview/256460321,Focuses on 1.1993-03 (Naghdi),,"Exiled, 1993"
"""Ex-Iran,"" 1980",,,Ex-Iran Envoy Shot to Death at Bethesda Home,"Sun [Baltimore, Maryland]",1980,7,23,,,,http://search.proquest.com/news/docview/538175819/,"Focuses on 1.1980-02 (Tabatabai) | Mentions 1.1980-01 (Bakhtiar ’80), 1.1979-01 (Shafigh)",,"Ex-Iran, 1980"
"""Ex-Mailman,"" 1981",,,Ex-Mailman Guilty of Role in Slaying of Iranian Exile,New York Times,1981,2,4,,,,http://search.proquest.com/news/docview/121482979/,Focuses on 1.1980-02 (Tabatabai),,"Ex-Mailman, 1981"
"Farhang, 1993","Farhang, Mansour",Farhang,Iran Wants to Assassinate Me. Why?,New York Times,1993,12,8,,,,http://search.proquest.com/docview/109077650,"Farhang was informed by the FBI that he was on an Iranian hit list. | Focuses on the broader pattern: “Since the founding of the Islamic Republic in 1979, 59 exiled Iranian dissidents have been assassinated.” Of these, Farhang specifies how many were killed in specific locations.",,"Farhang, 1993"
"Federal Research Division, Library of Congress, 2012","Federal Research Division, Library of Congress","Federal Research Division, Library of Congress","Iran’s Ministry of Intelligence and Security: A Profile: A Report Prepared by the Federal Research Division, Library of Congress under an Interagency Agreement with the Combating Terrorism Technical Support Office’s Irregular Warfare Support Program",,2012,12,,,,,http://www.fas.org/irp/world/iran/mois-loc.pdf,"Focuses on Irans’s Ministry of Intelligence and Security | Information “collected mainly from Farsi and English journals, online news Web sites, and Iranian blogs.” | To justify its use of such sources, it notes, “Because of the extreme degree of control of the media and news by the government of the Islamic Republic of Iran, Iranians have to depend on alternative sources such as blogs to receive daily news. | Mentions broader pattern, 1.1992-08 (Sharafkandi), 1.1979-01 (Shafigh), 1.1980-02 (Tabatabai), 1.1984-01 (Oveissi),1.1987-01 (Mohammadi), 1.1987-02 (Chitgar), 1.1989-02 (Ghassemlou), 1.1989-03 (Javadi/G. Keshavarz), 1.1990-03 (K. Rajavi), 1.1990-04 (Kashefpour), 1.1990-05 (Ghazi), 1.1990-07 (Elahi), 1.1991-01 (Boroumand), 1.1991-04 (Bakhtiar) | Mentions 1.1991-06 (Yazdanpanah), incorrectly listing Katibe as Yazdanpanah’s secretary rather than Bakhtiar’s | Mentions 1.1992-06 (Farrokhzad), 1.1993-02 (Narou’i), 1.1996- 05 (Mazlouman)",,"Federal Research Division, Library of Congress, 2012"
